text;labels
W trosce o byt i przysz³oœæ naszej Ojczyzny,odzyskawszy w 1989 roku mo¿liwoœæ suwerennego i demokratycznego stanowienia o Jej losie,my, Naród Polski - wszyscy obywatele Rzeczypospolitej,zarówno wierz¹cy w Bogabêd¹cego Ÿród³em prawdy, sprawiedliwoœci, dobra i piêkna,jak i nie podzielaj¹cy tej wiary,a te uniwersalne wartoœci wywodz¹cy z innych Ÿróde³,równi w prawach i w powinnoœciach wobec dobra wspólnego - Polski,wdziêczni naszym przodkom za ich pracê, za walkê o niepodleg³oœæ okupion¹ ogromnymi ofiarami, za kulturê zakorzenion¹ w chrzeœcijañskim dziedzictwie Narodu i ogólnoludzkich wartoœciach,nawi¹zuj¹c do najlepszych tradycji Pierwszej i Drugiej Rzeczypospolitej,zobowi¹zani, by przekazaæ przysz³ym pokoleniom wszystko, co cenne z ponad tysi¹cletniego dorobku,z³¹czeni wiêzami wspólnoty z naszymi rodakami rozsianymi po œwiecie,œwiadomi potrzeby wspó³pracy ze wszystkimi krajami dla dobra Rodziny Ludzkiej,pomni gorzkich doœwiadczeñ z czasów, gdy podstawowe wolnoœci i prawa cz³owieka by³y w naszej OjczyŸnie ³amane,pragn¹c na zawsze zagwarantowaæ prawa obywatelskie, a dzia³aniu instytucji publicznych zapewniæ rzetelnoœæ i sprawnoœæ,w poczuciu odpowiedzialnoœci przed Bogiem lub przed w³asnym sumieniem,ustanawiamy Konstytucjê Rzeczypospolitej Polskiejjako prawa podstawowe dla pañstwaoparte na poszanowaniu wolnoœci i sprawiedliwoœci, wspó³dzia³aniu w³adz, dialogu spo³ecznym oraz na zasadzie pomocniczoœci umacniaj¹cej uprawnienia obywateli i ich wspólnot;konstytucja
Wszystkich, którzy dla dobra Trzeciej Rzeczypospolitej tê Konstytucjê bêd¹ stosowali,wzywamy, aby czynili to, dbaj¹c o zachowanie przyrodzonej godnoœci cz³owieka,jego prawa do wolnoœci i obowi¹zku solidarnoœci z innymi,a poszanowanie tych zasad mieli za niewzruszon¹ podstawê Rzeczypospolitej Polskiej;konstytucja
Rzeczpospolita Polska jest dobrem wspólnym wszystkich obywateli;konstytucja
Rzeczpospolita Polska jest demokratycznym pañstwem prawnym, urzeczywistniaj¹cym zasady sprawiedliwoœci spo³ecznej;konstytucja
Rzeczpospolita Polska jest pañstwem jednolitym;konstytucja
W³adza zwierzchnia w Rzeczypospolitej Polskiej nale¿y do Narodu;konstytucja
Naród sprawuje w³adzê przez swoich przedstawicieli lub bezpoœrednio;konstytucja
Rzeczpospolita Polska strze¿e niepodleg³oœci i nienaruszalnoœci swojego terytorium, zapewnia wolnoœci i prawa cz³owieka i obywatela oraz bezpieczeñstwo obywateli, strze¿e dziedzictwa narodowego oraz zapewnia ochronê œrodowiska, kieruj¹c siê zasad¹ zrównowa¿onego rozwoju;konstytucja
Rzeczpospolita Polska stwarza warunki upowszechniania i równego dostêpu do dóbr kultury, bêd¹cej Ÿród³em to¿samoœci narodu polskiego, jego trwania i rozwoju;konstytucja
Rzeczpospolita Polska udziela pomocy Polakom zamieszka³ym za granic¹ w zachowaniu ich zwi¹zków z narodowym dziedzictwem kulturalnym;konstytucja
Organy w³adzy publicznej dzia³aj¹ na podstawie i w granicach prawa;konstytucja
Konstytucja jest najwy¿szym prawem Rzeczypospolitej Polskiej;konstytucja
Przepisy Konstytucji stosuje siê bezpoœrednio, chyba ¿e Konstytucja stanowi inaczej;konstytucja
Rzeczpospolita Polska przestrzega wi¹¿¹cego j¹ prawa miêdzynarodowego;konstytucja
Ustrój Rzeczypospolitej Polskiej opiera siê na podziale i równowadze w³adzy ustawodawczej, w³adzy wykonawczej i w³adzy s¹downiczej;konstytucja
W³adzê ustawodawcz¹ sprawuj¹ Sejm i Senat, w³adzê wykonawcz¹ Prezydent Rzeczypospolitej Polskiej i Rada Ministrów, a w³adzê s¹downicz¹ s¹dy i trybuna³y;konstytucja
Rzeczpospolita Polska zapewnia wolnoœæ tworzenia i dzia³ania partii politycznych;konstytucja
Partie polityczne zrzeszaj¹ na zasadach dobrowolnoœci i równoœci obywateli polskich w celu wp³ywania metodami demokratycznymi na kszta³towanie polityki pañstwa;konstytucja
Finansowanie partii politycznych jest jawne;konstytucja
Rzeczpospolita Polska zapewnia wolnoœæ tworzenia i dzia³ania zwi¹zków zawodowych, organizacji spo³eczno-zawodowych rolników, stowarzyszeñ, ruchów obywatelskich, innych dobrowolnych zrzeszeñ oraz fundacji;konstytucja
Zakazane jest istnienie partii politycznych i innych organizacji odwo³uj¹cych siê w swoich programach do totalitarnych metod i praktyk dzia³ania nazizmu, faszyzmu i komunizmu, a tak¿e tych, których program lub dzia³alnoœæ zak³ada lub dopuszcza nienawiœæ rasow¹ i narodowoœciow¹, stosowanie przemocy w celu zdobycia w³adzy lub wp³ywu na politykê pañstwa albo przewiduje utajnienie struktur lub cz³onkostwa;konstytucja
Rzeczpospolita Polska zapewnia wolnoœæ prasy i innych œrodków spo³ecznego przekazu;konstytucja
Ustrój terytorialny Rzeczypospolitej Polskiej zapewnia decentralizacjê w³adzy publicznej;konstytucja
Zasadniczy podzia³ terytorialny pañstwa uwzglêdniaj¹cy wiêzi spo³eczne, gospodarcze lub kulturowe i zapewniaj¹cy jednostkom terytorialnym zdolnoœæ wykonywania zadañ publicznych okreœla ustawa;konstytucja
Ogó³ mieszkañców jednostek zasadniczego podzia³u terytorialnego stanowi z mocy prawa wspólnotê samorz¹dow¹;konstytucja
Samorz¹d terytorialny uczestniczy w sprawowaniu w³adzy publicznej;konstytucja
Przys³uguj¹c¹ mu w ramach ustaw istotn¹ czêœæ zadañ publicznych samorz¹d wykonuje w imieniu w³asnym i na w³asn¹ odpowiedzialnoœæ;konstytucja
W drodze ustawy mo¿na tworzyæ samorz¹dy zawodowe, reprezentuj¹ce osoby wykonuj¹ce zawody zaufania publicznego i sprawuj¹ce pieczê nad nale¿ytym wykonywaniem tych zawodów w granicach interesu publicznego i dla jego ochrony;konstytucja
W drodze ustawy mo¿na tworzyæ równie¿ inne rodzaje samorz¹du;konstytucja
Samorz¹dy te nie mog¹ naruszaæ wolnoœci wykonywania zawodu ani ograniczaæ wolnoœci podejmowania dzia³alnoœci gospodarczej;konstytucja
Ma³¿eñstwo jako zwi¹zek kobiety i mê¿czyzny, rodzina, macierzyñstwo i rodzicielstwo znajduj¹ siê pod ochron¹ i opiek¹ Rzeczypospolitej Polskiej;konstytucja
Rzeczpospolita Polska specjaln¹ opiek¹ otacza weteranów walk o niepodleg³oœæ, zw³aszcza inwalidów wojennych;konstytucja
Spo³eczna gospodarka rynkowa oparta na wolnoœci dzia³alnoœci gospodarczej, w³asnoœci prywatnej oraz solidarnoœci, dialogu i wspó³pracy partnerów spo³ecznych stanowi podstawê ustroju gospodarczego Rzeczypospolitej Polskiej;konstytucja
Rzeczpospolita Polska chroni w³asnoœæ i prawo dziedziczenia;konstytucja
Wyw³aszczenie jest dopuszczalne jedynie wówczas, gdy jest dokonywane na cele publiczne i za s³usznym odszkodowaniem;konstytucja
Ograniczenie wolnoœci dzia³alnoœci gospodarczej jest dopuszczalne tylko w drodze ustawy i tylko ze wzglêdu na wa¿ny interes publiczny;konstytucja
Podstaw¹ ustroju rolnego pañstwa jest gospodarstwo rodzinne;konstytucja
Zasada ta nie narusza postanowieñ art. 21 i art. 22;konstytucja
Praca znajduje siê pod ochron¹ Rzeczypospolitej Polskiej;konstytucja
Pañstwo sprawuje nadzór nad warunkami wykonywania pracy;konstytucja
Koœcio³y i inne zwi¹zki wyznaniowe s¹ równouprawnione;konstytucja
W³adze publiczne w Rzeczypospolitej Polskiej zachowuj¹ bezstronnoœæ w sprawach przekonañ religijnych, œwiatopogl¹dowych i filozoficznych, zapewniaj¹c swobodê ich wyra¿ania w ¿yciu publicznym;konstytucja
Stosunki miêdzy pañstwem a koœcio³ami i innymi zwi¹zkami wyznaniowymi s¹ kszta³towane na zasadach poszanowania ich autonomii oraz wzajemnej niezale¿noœci ka¿dego w swoim zakresie, jak równie¿ wspó³dzia³ania dla dobra cz³owieka i dobra wspólnego;konstytucja
